ENSG00000111640.14 ENSG00000123374.10
GAPDH CDK2
831.783 19.2273
705.227 21.4228
905.37 10.5143
2011.82 22.9254
1573.91 18.3792
1523.27 19.5246
1394.27 21.5162
1002.13 1.65094
1183.3 1.52038
1073.59 1.76434
1259.12 2.80305
1197.84 3.33791
1438.81 2.04698
1651.41 1.49064
893.597 1.90103
1198.77 2.02936
1141.44 1.36302
908.523 1.49828
1402.76 3.32197
1084.1 2.43794
721.549 24.827
4452.91 19.5159
6385.15 64.4682
727.604 27.3293
927.36 30.7073
1093.56 17.7118
947.495 15.4683
1300.73 23.1589
1656.67 17.4045
1392.94 32.4033
956.321 29.7575
1532.73 7.79802
1490.03 4.3415
803.177 8.63836
765.528 11.6756
512.029 7.20275
852.837 33.5253
945.002 15.8249
5597.4 3.95677
1125.88 18.5834
831.302 32.2756
147.612 5.46884
919.308 7.73563
787.02 22.5802
928.569 29.0526
1118.89 28.0593
866.582 18.5143
716.393 23.5564
528.192 13.0211
593.371 11.4374
812.93 19.9928
904.333 27.7187
1208.82 23.6365
1773.91 5.1663
